                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5831,                 3.0565,                 1.1133,                0.67244,                0.57309,                0.56956,                 0.3948,                 1.0857,                 2.6021,                 1.0017,             0.00019089,             0.00019089,             0.00019089
                      2,                 1.1372,                 1.1984,                0.94915,                0.12467,                0.46309,                0.12656,                0.09245,                 1.0191,                    inf,                0.99365,             0.00038958,             0.00038958,             0.00038958
                      3,                  1.095,                0.96978,                0.93978,                0.78953,                0.78384,                0.83345,                0.60392,                 0.9662,                 2.8851,                0.95758,             0.00058695,             0.00058695,             0.00058695
                      4,                 1.0898,                0.83493,                0.91249,                0.82429,                0.83355,                0.86554,                0.61087,                 1.0413,                0.95291,                0.94582,               0.000783,               0.000783,               0.000783
                      5,                 1.0547,                0.76563,                0.92261,                0.87116,                0.83309,                0.88771,                0.66307,                0.94517,                 0.9782,                 0.9411,               0.000897,               0.000897,               0.000897
                      6,                 1.0443,                0.70531,                0.90775,                0.81375,                0.82801,                0.89142,                0.64878,                0.96157,                0.79844,                0.92891,               0.000897,               0.000897,               0.000897
                      7,                0.99006,                0.64708,                0.89154,                0.82899,                0.84349,                0.90543,                0.68924,                0.96205,                  0.824,                0.91776,               0.000894,               0.000894,               0.000894
                      8,                0.95416,                0.62223,                 0.8852,                0.85143,                 0.8923,                 0.9141,                0.70045,                0.86995,                0.70272,                0.89482,               0.000891,               0.000891,               0.000891
                      9,                0.96039,                0.59288,                0.88129,                0.86048,                0.84999,                0.90734,                0.67382,                0.93628,                0.73067,                0.91427,               0.000888,               0.000888,               0.000888
                     10,                0.95755,                0.58066,                0.88581,                0.88873,                0.84949,                0.89705,                0.68652,                0.89458,                0.68942,                0.90936,               0.000885,               0.000885,               0.000885
                     11,                0.93989,                0.57925,                0.88107,                0.86478,                0.85162,                0.91169,                0.68755,                0.91957,                0.68933,                0.91811,               0.000882,               0.000882,               0.000882
                     12,                 0.9202,                0.56121,                0.87049,                0.88538,                0.87782,                0.90433,                0.70327,                0.86382,                0.63764,                0.89899,               0.000879,               0.000879,               0.000879
                     13,                0.93379,                0.54856,                0.87903,                0.87462,                0.86284,                0.89979,                0.65971,                0.99171,                0.70372,                0.92743,               0.000876,               0.000876,               0.000876
                     14,                0.91484,                0.52945,                0.87568,                0.86746,                0.86757,                0.87212,                 0.6582,                 0.9749,                0.71986,                0.91469,               0.000873,               0.000873,               0.000873
                     15,                0.87653,                0.52084,                 0.8679,                0.86259,                0.87974,                0.88149,                0.64605,                 0.9823,                0.67463,                0.91885,                0.00087,                0.00087,                0.00087
                     16,                0.87251,                 0.5206,                0.86374,                 0.8878,                0.87554,                0.89572,                0.69851,                0.87554,                0.67245,                0.90229,               0.000867,               0.000867,               0.000867
                     17,                0.90235,                0.51835,                0.86236,                 0.9087,                 0.8716,                0.90134,                0.69395,                0.93744,                0.66344,                 0.9129,               0.000864,               0.000864,               0.000864
                     18,                0.88643,                0.51169,                0.86641,                0.88305,                0.88745,                0.90366,                0.70564,                0.82545,                0.62657,                0.88817,               0.000861,               0.000861,               0.000861
                     19,                 0.8635,                0.48636,                 0.8575,                 0.8963,                0.84303,                0.90624,                0.69439,                0.89502,                0.68035,                0.89432,             0.00085801,             0.00085801,             0.00085801
                     20,                0.86098,                0.49528,                0.86367,                0.85888,                0.89515,                0.90826,                0.66819,                0.96295,                0.65368,                0.92147,             0.00085501,             0.00085501,             0.00085501
                     21,                0.85859,                0.49023,                0.85917,                0.86008,                0.85397,                0.89915,                0.65774,                 1.0144,                0.68982,                0.90852,             0.00085201,             0.00085201,             0.00085201
                     22,                 0.8456,                0.48599,                0.85717,                0.88211,                0.90575,                0.92148,                0.73201,                0.83482,                0.60917,                0.88177,             0.00084901,             0.00084901,             0.00084901
                     23,                0.81729,                0.47339,                0.84925,                0.88631,                0.91625,                0.91733,                0.72005,                0.84922,                0.58515,                0.88441,             0.00084601,             0.00084601,             0.00084601
                     24,                0.85678,                0.48131,                0.85526,                0.88723,                0.90744,                0.91966,                0.72225,                0.85265,                0.61813,                0.87807,             0.00084301,             0.00084301,             0.00084301
                     25,                0.86037,                0.47551,                0.85554,                0.90677,                 0.8987,                 0.9177,                0.72139,                0.84913,                0.60016,                 0.8873,             0.00084001,             0.00084001,             0.00084001
                     26,                 0.8684,                 0.4752,                0.85411,                0.88899,                0.86503,                0.90401,                0.69415,                0.87615,                0.61194,                0.89448,             0.00083701,             0.00083701,             0.00083701
                     27,                0.80218,                0.44203,                0.84301,                0.86664,                0.89194,                0.90204,                0.68273,                0.91379,                 0.6241,                0.89895,             0.00083401,             0.00083401,             0.00083401
